행정구역구분명,행정구역명,총 인구수,인구소멸비율,시군구
구,경기도 고양시 일산동구,282542,0.134,고양시일산동구
구,경기도 고양시 일산서구,291456,0.124,고양시일산서구
시군,경기도 과천시,70899,0.118,과천시
시군,경기도 광명시,355440,0.14,광명시
시군,경기도 광주시,276645,0.125,광주시
시군,경기도 구리시,191929,0.13,구리시
시군,경기도 군포시,286757,0.139,군포시
시군,경기도 김포시,291964,0.123,김포시
시군,경기도 남양주시,603499,0.124,남양주시
시군,경기도 동두천시,97110,0.11,동두천시
시군,경기도 부천시,869583,0.137,부천시
구,경기도 부천시 소사구,231364,0.137,부천시소사구
구,경기도 부천시 오정구,191653,0.124,부천시오정구
구,경기도 부천시 원미구,446566,0.144,부천시원미구
구,경기도 성남시 분당구,491081,0.139,성남시분당구
구,경기도 성남시 수정구,233371,0.133,성남시수정구
